FID,UOGID,NAME,TYPE,STUSAB,STATE,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT,YEAR,SHAPE_Length,SHAPE_Area,FUNDING ROUND,PROGRAM TYPE,PROGRAM JURISDICTION,FUNDING SOURCE,ROUND START,ROUND END,DOC TIMING,TOTAL REQUIREMENTS,TOTAL DOCS,PHYSICAL PRESENCE,TENURE/HISTORY,STANDARD FINANCIAL,NON-STANDARD FINANCIAL,PROOF COVID-RELATED,CRIMINAL HISTORY,INTENDED USE,BUSINESS TYPE,BUSINESS SIZE,GOOD STANDING,POST-AWARD RECEIPTS,MISCELLANEOUS,DOC ELEMENTS,PREVIOUS APP INCLUSION,CONTACT,WEB ADDRESS (ORIGINAL CODING ROUND),"WEB ADDRESS (IF ORIGINAL LINK INACTIVE, WEBARCHIVE LINK)",DATE COLLECTED,GRANT AMOUNT,"DISTRIBUTION METHOD (rj note: these were coded more consistently later but coding guide not followed closely -- eg different variations of first come first serve spelling, so goal here is to fill in blank rows and for non-blank ones, to double check whether you agree with the distribution method coding based on the website and then standardize the name based on the ""Code"" sheet)",PREFERENCES: MINORITY-OWNED BUSINESSES (0 = NO; 1 = YES; M = UNKNOWN),PREFERENCES: WOMEN-OWNED BUSINESSES (0 = NO; 1 = YES; M = UNKNOWN),"PREFERENCES: BUSINESS LOCATED IN HIGH-POVERTY AREA (might be called high-poverty, LMI area, needy area, etc) (0 = NO; 1 = YES; M = UNKNOWN)",PREFERENCES: HOLISTIC CRITERIA FROM REVIEWERS (0 = NO; 1 = YES; M = UNKNOWN),PREFERENCES: ECONOMIC CRITERIA (FTE; REVENUE/PROFITABILITY) (0 = NO; 1 = YES; M = UNKNOWN),PREFERENCES: OTHER (write out),PREFERENCES: NOTES ON CODING,RESTRICTS ELIGIBILITY TO UNDERSERVED BUSINESSES ONLY (0 = NO; 1 = YES),NOTES ON ELIGIBILITY CRITERIA (OPTIONAL),CODER ,PREFERENCES: WOMEN-OWNED BUSINESSES (0 = NO; 1 = YES; M = UNKNOWN),LINK TO 3RD PARTY ASSISTANCE,CHECKLIST,DOCUMENTATION NOTES,TOTAL RECIPIENTS,AVERAGE GRANT SIZE,MINORITY OWNED RECIPIENTS,WOMEN OWNED RECIPIENTS,OUTCOME NOTES,RJ notes
159,62274,MILPITAS CITY,51,CA,6,521182,0,0,0,521182,2018,0.5002513081,0.003597777515,1,0,CITY,1,7/1/20,M,M,9,7,1,1,4,1,0,1,0,1,0,1,0,0,3 yr presence; physical storefront; <$2M revenue past 2 yrs; no previous illegal activities; no history of default/delinquency (7yrs); must show receipts for fund use post-award,M,BusinessAssistance@ci.milpitas.ca.gov,https://web.archive.org/web/20200621141152/http://www.ci.milpitas.ca.gov/covid-19-availability-city-services/covid-19-business-resources-and-relief-information/,,1/21/21,0-5000,M,M,M,M,M,M,M,No discussion about distribution method,,,,https://www.law.berkeley.edu/wp-content/uploads/2020/04/Guide-to-Covid-19-Resources-and-Relief.pdf,M,"Criteria only available on cached webpage, says further details coming but section completely removed on cached version from 9/2020, no link to application, unclear if grants actually distributed",,,,,No info,,
656,360040,ALBANY,51,NY,36,3368677,278205,922288,637488,5206658,2018,0.5718792534,0.006238545143,,1,COUNTY,,1/4/21,1/19/21,0,10,4,0,0,3,0,1,0,1,1,1,0,,1,Size and type of business; intended use restrictions; proof of COVID losses; drivers license; tax documents; profit/loss and balance sheet; whether SBA/PPP applied for,NA,rose@mycommunityloanfund.org,Albany County COVID-19 Small Business Grant Program – Community Loan Fund of the Capital Region (archive.org),,1/11/21,0-5000,Points,M,M,M,M,M,M,"Coded as points because of this- ""The applications will be ranked by priority and then scored to determine recipients."" But website does not state points system factors. Could be based on narrative fields where the business describes- ""How has COVID-19 impacted your business and how will you use grant proceeds"" and ""Description of applicant business and details of how the business benefits Albany County and its residents""",,,,,,"Most programs administered at county level or through private sector partnerships, unclear if there is city or local program. County program info given here. Few documentation requirements, mostly eligibility (possible that more documentation asked of finalists)",,,,,,,
85,60456,BURBANK,51,CA,6,1038089,0,615369,0,1653458,2018,0.3091419253,0.004401939317,1,0,CITY,1,6/29,7/10/20,M,7,3,0,0,2,1,1,0,0,0,1,0,0,2,Burbank business license; size; deduction of other SBA award amounts; evidence of COVID harm; retainment of low income employee,NA,(818) 238-5180,https://www.burbankca.gov/Home/Components/News/News/4335/25/,https://web.archive.org/web/20201023215926/https://www.burbankca.gov/Home/Components/News/News/4335/25?arch=1&npage=4,1/21/21,5000-10000,FCFS,0,0,0,0,0,0,"Coded as FCFS with no prioritization because of: ""Due to limited funding, the City will only accept 100 applications by or before the application period end date, whichever comes first.""",,,,https://burbank.cceda.com/,M,"Administered by CCEDA, unclear if funding is from CDBG, not a lot of information available and application unavailable since funding closed 7/2020",,,,,No info,,
26,40558,YUMA,51,AZ,4,859052,0,1083261,0,1942313,2018,2.591027514,0.0300909366,,1,CITY,,M,M,M,7,,1,0,,,1,0,1,1,1,,,2,Physical presence; closed >=10 days; declining revenue; <50 employees; <$2M gross revenue in 2019; type and size of business; good standing,M,,https://www.azcommerce.com/covid-19/financial-resources/city-of-yuma-covid-19-small-business-grant-relief-program/,,1/20/21,1500-10000,M,M,M,M,M,M,M,"Coded as missing because didn't discuss what to do if funds too limited. Did tier the size of the grant based on tiers of buisness type:Type 1 ($1,500): hair salons, barber shops, massage therapy establishments, nail salons, tanning salons, spas, water parks and tubing operators, tattoo parlors
Type 2 ($2,500): restaurants with no indoor or fully-enclosed dining, movie theaters
Type 3 ($5,000): Restaurants with indoor or fully-enclosed dining, gyms and fitness clubs with less than 4,500 square feet of space
Type 4 ($7,500): Bars
Type 5 ($10,000): gyms and fitness clubs with more than 4,5000 square feet of space
 ",,,,,,"Criteria available on AZ Commerce Association webpage, closed now but unable to locate dates it was open",,,,,,,
607,294884,SPRINGFIELD,51,MO,29,1398572,0,966695,0,2365267,2018,2.452553772,0.02222238076,,0,CITY,,M,M,0,12,4,1,1,2,1,1,1,1,1,1,1,0,1,Physical presence; 1yr operation; good standing; no conflict of interests with city; job retention requirements; size and type of business,NA,cscott@springfieldmo.gov,https://efactory.missouristate.edu/blog/2020/06/17/city-of-springfield-allocates-over-400000-of-cares-act-funding-for-forgivable-business-loans/,,1/21/21,0-10000,M,0,0,0,0,0,0,"Not any relevant preferences given to any certain demographics, so coded No for everything",,,,https://efactory.missouristate.edu/blog/2020/06/17/city-of-springfield-allocates-over-400000-of-cares-act-funding-for-forgivable-business-loans/,M,"Doesn't specify ""small"" businesses, is connected to CDBG funding, dates not given, first come first served until funds all used, administered by 3rd party",,,,,No info,,
996,729071,ISABELA MUNICIPIO,51,PR,72,761294,0,0,0,761294,2018,0.6369902119,0.01223006604,N,N,N,,N,N,N,N,,N,N,N,,N,N,N,N,N,N,,N,N,N,,N,,1/21/21,M,,,,,,,,,,,,,,"Only evidence of partnership with SBA, municipality doesn't even have its own website",,,,,,,
123,130174,ATLANTA,51,GA,13,7185087,595393,2136864,23101950,33019294,2018,1.563187016,0.03378085928,,0,CITY,,M,M,0,8,5,1,1,2,1,0,0,0,0,0,0,0,3,Physical presence; pre-existing; personal and business financial statements; key employee resumes; 3yrs tax returns; business incorporation documentation,M,,https://www.investatlanta.com/businesses/small-businesses/small-business-loan-programs,,1/21/21,10000-100000,Comm,1,1,1,0,1,0,"Indicated that there's preference to high-poverty areas because they stated aid is going to ""distressed neighborhoods"", indicated pref from econ. criteria because ""Provides funds for existing companies improving commercial property, purchasing equipment, furniture and fixtures, and paying off high-interest business debt.""
",,,,M,M,"Revolving loan fund, many other options from private corporations and non-profits, only able to see full documentation requirements by starting an application",,,,,No info,,
238,90258,DANBURY,51,CT,9,637786,0,0,0,637786,2018,0.5648657607,0.01254395933,,N,N,,N,N,N,N,,N,N,N,,N,N,N,N,N,N,,N,N,N,,N,,1/21/21,N,,,,,,,,No web address,,,,,,"No evidence found of city/local grant or loan program, all resources direct to federal or state programs",,,,,,,
977,510720,HAMPTON,51,VA,51,1156814,0,557513,0,1714327,2018,1.295819647,0.01392909506,1,0,CITY,0,5/3/20,9/30/20,M,9,9,0,1,4,5,1,0,1,0,1,1,0,2,Proof of SBA relief app/ineligibility; financial docs; proof of COVID impact; intended use; other sources of COVID relief funding; ,NA,Erica.spencer@hampton.gov,http://web.archive.org/web/20200503213300/https://hampton.gov/3713/COVID-19-Small-Business-Assistance-Progr,,5/3/20,0-10000,FCFS,0,,0,,,0,FCFS since says they're finite/will provide until all funds are exhausted; 0 across preference categories since doesn't mention any prioritization criteria,,,,M,Checklist - Google Docs,Not funded by CDBG,,,,,,,
133,61266,FAIRFIELD,51,CA,6,837750,0,0,0,837750,2018,1.334585718,0.01113308819,,1,CITY,,8/11/20,8/28/20,1,8,,1,1,,,0,0,1,1,1,1,,2,"Business size, age and type; location; revenues; ownership; good standing; funding limits; intended use",NA,,http://fairfield.ca.gov/gov/depts/manager/sbgf.asp,,1/21/21,5000-10000,Lottery,0,,0,,,0,Lottery since randomizes rank order of applicants; no preferences since seems to be an equal odds rank ordering and not higher odds for certain groups,,,,,,Distributed by lottery,,,,,,,
