prol_id,choice,fr_why_first_over_second,fr_why_second_over_third,coder,Nonsensical? (1 = yes; 0 = no),Propensity for intentional fraud/system abuse/gaming (including both “this method is better because it does that less” and “this method is worse because it does that more”) by either the applicants or the people allocating the funds,"Ability to help the neediest targets, and/or underserved groups","Extent to which the method requires personal resources, speed of finding out about the program, etc.",Amount of bias/discrimination/level playing field,Extent to which the method(s) allow for or reward applicant effort,Randomness is bad (general) and/or randomness is bad because the funding agency didn’t make enough of an effort to think of a better system,"Considers relevant/appropriate factors  (the preferred method DOES this, and/or the method they don't like does NOT do this)",Women - mentioned,Racial/ethnic minorities - mentioned,Other reasons,Comments on other reasons
5f54c5014f8d2d82db87d0c2,pf,Using this system will be helpful to determine who are more likely to achieve success.,Because we cannot judge a person.,K,0,0,1,0,0,0,0,1,0,0,0,
560d6f1e54221f001235e1ed,lf,"Because it's random. Many people are struggling, and may not have resources such as fast (or any) internet at home, may have lost their phone service, may spend time teaching/taking care of kids or sick partner/parents, etc., so may not be able to jump online right away to enter. I don't think it's fair to give points for race. There are already set asides and other Affirmative Action programs that take that into account.","I think it's somewhat good, other than the race part. I don't think it's fair to push one group ahead of others. Not everyone who's non-black has had advantages, many people/families weren't even here during slavery, and lots of immigrants face/have faced discrimination, I think we need to treat people as individuals, rather than groups.",K,0,0,0,1,1,0,0,0,0,1,0,
5fe146b36a3657bd99f9c179,pf,It takes into consideration how much it has been harmed by the pandemic as well as how long it has been in bussiness,It is too random and doesn't take into account other factors,K,0,0,1,0,0,0,1,0,0,0,0,
5de7d11fa1a3fb7445c7e643,lp,The chance is better because it includes business that just opened up as well.,Not everyone can get on the list as fast as other businesses. Leaves out the smaller guy.,K,0,0,0,1,1,0,0,0,0,0,0,
5e87206614560f0118569c49,fl,Because it rewards people for being proactive and seeking assistance quickly.,It gives you at least a random chance of obtaining funds.,K,0,0,0,0,1,1,0,0,0,0,0,
5dbc381c2d098c1eda54a2f7,pl,"because the first time stimulus went around I saw a lot of talk about how 'small businesses' were considered to be churches or corps even instead of actual people needed help and it just seemed like a very dysfunctional system where basically the majority of the money ended up in the hands of the wealthy rather than the business owners who need it. I believe a points system is better to give help to the people that actually need it, a random few being select will still be inaccurate and first come will just be abused by the ones who dont need it.",I think a lottery at least makes the picking unbiased while first come first severed is dependent on the person having resources in order to apply in a speedy matter (like wifi and such) and I feel like it would be easier abused.,K,0,1,1,1,1,0,0,0,0,0,0,
5c33ccf9377d960001044af0,lf,BECAUSE IT GIVES EACH BUSINESS THE SAME CHANCE.,IT DOESN'T TAKE INTO ACCOUNT ANY OTHER BUSINESS ASPECTS.,K,0,0,0,0,1,0,0,0,0,0,0,
5fd1384446ded50c46ef3abc,fp,Yes who is come first he is been active properly on his work so he might get the chance.,Lottery is worse system than Point system.,K,1,0,0,0,0,0,0,0,0,0,0,
5e16200e9195c6c0ec0b0e92,pl,Certain aspects should count in weighing who gets financial assistance. It should be earned.,"First-come first-served is about timing, nothing else. It's not based on anything more, so lottery is more fair if it isn't going to be based on earning it.",K,0,0,1,1,1,0,0,1,0,0,0,
5dd03b8141fb3f12402df66d,pf,"First come first served will have a bias to firms with the resources to put together an application. Smaller, disadvantaged firms won't","Lottery isn't really least fair, but it is better to disburse fungs quickly than wait for everyone to get a grant application in",K,0,0,1,1,0,0,0,0,0,0,0,
5e52a0d243a1fb2b20e46cd7,fp,If the points system did not give priority to women-owned businesses I would have put that one.,At least it's not random.,K,0,0,0,0,0,0,1,0,1,0,0,
5f289663a0b4741f0ce3fcbe,pl,"The point system should be objective,  based on some criteria.",Totally objective.  no favorites,K,0,0,0,0,1,0,0,1,0,0,0,
5bf8898f6669ae000122e9ad,pl,A points based system allows you to rank businesses in terms of need. I think that this will make it so that businesses that need help the most will get it.,A first-come first served system prioritizes businesses that are most able to apply for help instead of prioritizing businesses that need it the most.,K,0,0,1,1,0,0,0,0,0,0,0,
5e61c57dc5c7450c344f2e82,pf,A points system specifically pinpoints businesses that are struggling the most and that face the most challenges. These businesses are most in need of aid.,A lottery is completely random and many individuals that need help the most will be passed over.,K,0,0,1,0,0,0,1,0,0,0,0,
5c7001cacf38670001c6e62d,lp,"Your points system indicated a minority factor.  If minority want to be treated equally, than a lottery system is fair.","News travels at different speeds, and it is not fair that first come first served to those either uninformed or busy running this business and don't apply for a day or two.",K,0,0,0,1,1,0,0,0,0,1,0,
5dedb806838b4f46c8d183a5,pl,"A lottery is entirely random.  First-come, first-served does not seem fair because someone might simply not know about the program.  Rather a points-based system that takes many factors into consideration seems the most fair.","First-come, first-served does not seem fair because someone might simply not know about the program.",K,0,0,1,1,0,0,1,0,0,0,0,
5ea8b0061f2150150cc9a888,pf,Just a feeling I have.  I think it makes it more fair,people who really need it can get what they need if they signed up,K,0,0,1,0,0,1,0,0,0,0,0,
5e29ed78eb557a05536b8442,pl,"It takes into account some of the important context, including how affected the business is (not all will be affected equally) and who the owners are (e.g., women owned business).","There isn't any merit in being first.  In fact, the businesses with the most resources/connections might be able to apply more quickly even if they are the businesses that need the help the least.",K,0,0,1,1,0,0,0,0,1,0,0,
570521cfde5095001018a0c8,pl,A points system will target people with real needs better than the other methods.,"First-come, first served has nothing to do with fairness. It is just about who knows how to take advantage of a system.",K,0,1,1,0,0,0,0,0,0,0,0,
5e1d70edd727e90dea42d137,pf,Because it's not at random and people that have been working very hard towards that would have a chance.,Because it's completely random.,K,0,0,0,0,0,1,1,0,0,0,0,
5c4a40123714ae0001863e8a,pl,"Point system can be set up so smaller businesses have a better chance of the money and larger businesses, who may not be as desparate for cash, are not given an advantage.  Bigger does not mean better all the time.","It allows people with inside information about when to apply to get an unfair advantage.  Also, if 250 business who are not struggling but can get the information they need to apply faster, they will get the funding over a smaller business who do not have the same resources.",K,0,0,1,1,0,0,0,0,0,0,0,
5c75bf4c281ce000015ecc59,pl,"With a points system, funds are allocated based on a severe need.",The lottery will give an opportunity for any business to receive funding that might miss out on the other two options.,K,0,0,1,0,1,0,0,0,0,0,0,
5be2beac398f560001a58df7,pl,Lottery would be completely random and may not help any of the businesses that need it the most. First come will only benefit the most well connected who can find out and apply the fastest.,"Firs come first served only helps the most connected, the lottery would give those not as well connected a chance they would not have using first come first served.",K,0,0,1,1,1,0,0,0,0,0,0,
5f3227893ca51916b4ff6d9d,pf,Government should always help businesses that clearly show that they are struggling financially.,A lottery is the least fair because businesses can only rely on luck.,K,0,0,0,0,0,0,1,0,0,0,0,
5e46270e30816f1096bdc558,pf,Points-based system is more fair than the other options because the government will have a thorough assessment for all the businesses wanting to apply for relief packages or grants. I think the other options are prone to abuse because some businesses that are not that affected might take advantage of it. It is a relief knowing that the ones that are affected the most would get the help they badly needed.,"The first-come, first served is more fair than lottery in this situation because I would assume that the businesses who who came first would be the ones who needed the most financial assistance. Lottery, on the other hand, is the least likely to allocate the funds where they are most needed.",K,0,1,1,0,0,0,1,0,0,0,0,
59c0a297c458e800017b5499,pf,"A points system is more fair because there are criteria for getting the money, rather than something arbitrary. There should be a method to show how and why you need the money more compared to others.","A lottery is least fair because if you need the money the most and are most attentive to the methods to get it, you should get a priority above a lottery, where someone not feeling the same economic pain could throw their hat in the ring.",K,0,0,1,0,0,1,1,1,0,0,0,
5f484cef1d9c4630fdf85265,pf,I think a points system is more fair because it takes into account factors that will show which businesses really need the most help.,I think lottery is least fair because it's totally random. First come first serve isn't great either because those with the most power and loudest voice might get aid that others need.,K,0,1,1,1,0,0,1,0,0,0,0,
5f3b1897389f37825684326c,pf,"I think that that business that are most affected by the pandemic need the support of the government,  because they lost their income and it's not their fault,  best example are restaurant and bars.","The lottery will provide business with support that they may not need it,  the financial support is a tax payer and it should go to people that deseve it.",K,0,0,1,0,0,0,1,0,0,0,0,
5c4fc3009eeaf00001599352,lp,Because it's random and not biased,Because some people need more help,K,0,0,1,0,1,0,0,0,0,0,0,
5b2a37ee5b5c0900018b0ca5,pf,Just because a business applies early doesn't mean they should get government help first. Those who are the most in need or the most likely to go out of business should get the help first. Point system seemed like the fairest method.,"Lottery is totally by chance. That's completely unfair. At least first-come, first-served rewards those who work to apply early.",K,0,0,1,1,0,1,1,0,0,0,0,
5c3a87a61ede2b000115cf76,lf,The lottery is most fair because it does not punish a business for being later to apply for assistance as long as the application deadline is met.  It also does not punish a business if it is owned by a man.,I think the points system is least fair as it punishes male owned businesses.  I also disagree with the assessment it is harder for a woman who has an equal financial history as a man to get a bank loan to start a business so I don't think a woman owned business should be favored in a points system.,K,0,0,0,1,1,0,0,0,1,0,0,
5f2469423f17ce03bf6bec8b,pf,I feel that businesses that have been operating for a longer time should take priority over newer businesses.,First come first serve is more fair than the lottery because it ensures that ambitious people who quickly submit their applications will receive benefits.,K,0,0,0,0,0,1,0,0,0,0,1,Older businesses should be prioritized over newer businesses
5f31bbe840a5c90e5a9a7b68,pl,I think the points system is the most fair because it helps businesses owned by minorities who experience more discrimination than white owned businesses.,I think the first-come first-served is the least fair because it doesn't allow people the chance to get the help they need.  There are many minority owned businesses who may not know how to get the money and help they need so they would end up losing out in this type of system.,K,0,0,1,1,0,0,0,0,0,1,0,
5c9e65d52707e10001a00524,pf,value scale using common elements,some effort vs pure chance,K,0,0,0,0,0,1,1,0,0,0,0,
5e795b321feceb5164cd115d,pf,It takes more things into consideration,a business who is doing better than others may win,K,0,0,1,0,0,0,1,1,0,0,0,
5c91c11b707ed90001859285,pl,It considers the actual circumstances of the small businee.,At least it's random and gives everyone a chance.,K,0,0,1,0,1,0,0,1,0,0,0,
5f1dea279f4818757f07f087,lp,"I believe when the businesses apply, there should be specific criteria on the application anyway. Once these are pooled together, a lottery would be more fair. First come first served, would allow anyone to have access to the funds who may not even need the funding.",A point system would allow certain criteria to adhered to in order for those who have more points to be serviced first.,K,0,0,1,1,0,0,0,1,0,0,0,
5f12691e8427ec1bd6ba5e64,pl,I am not sure any of them are totally fair but points seemed to at least consider certain relevant factors so that's why I thought it was more fair.,I think that sometimes people don't hear about things until it is too late.  A lottery at least gives everyone the same chance and not necessarily just the most well connected people.,K,0,0,1,1,1,0,0,1,0,0,0,
5c9567e99d4cac0011609746,lp,"AS long as the businesses chosen are truly random I think it is pretty fair to do things that way, although I can see how this could lead to some businesses gaining assistance who need it less than others.",I think first come first serve is least fair because the information could spread less quickly in certain communities as compared to others.,K,0,0,0,1,1,0,0,0,0,0,0,
5e0ea1a1fa3d105e3f5a7619,pf,I think it adequately would apply to the most affected segments of small business.,Lottery is pure chance. First come first serve would make people that want govt assistance put in some effort.,K,0,0,1,0,0,1,1,0,0,0,0,
5e9a4b17666c130defb0ab72,pl,"The points system establishes who would benefit more from the assistance and therefore would help to prevent businesses that can function without the assistance, from getting the assistance over one that desperately needs it. A first come first served system would allow people with the privilege of extra free time and money to be able to get their application in quicker. Sometimes a struggling business owner does not have the extra time to fill out an application right away so they would risk not getting assistance because they are busy.",A lottery would be totally random which again would be more fair than first come first served because it eliminates privilege.,K,0,0,1,1,1,0,0,0,0,0,0,
5ddb1b1e929d5da850164610,pl,It takes into account the need of each business.,Some businesses might not be able to apply quickly but that doesn't mean they need the help less. A lottery would give all businesses the same shot.,K,0,0,1,1,1,0,0,0,0,0,0,
5f231db4926f8a0a32db834a,fl,"First come - first served is the most fair of the three, as it takes into account the application process.  A lottery is random, and a points system unfair targets populations based on race....etc",A looter is definitely more fair than a points system as the points system unfairly targets business based on unfair criteria like race,K,0,0,0,0,1,1,0,0,0,1,0,
5fadb5992b8a2619ea530217,pf,"Assuming that everything would be done fairly, minority businesses have historically be disenfranchised and an afterthought so we should try something different as a sign of good faith.",To a certain extinct.  This is only fair assuming that everyone has equal access to the unveiling of such opportunities.,K,0,0,1,1,0,0,0,0,0,1,0,
5dce29700ad506063969a4a5,lf,If the lottery is done fairly then that would be the best way for the government to handle the situation so nobody could complain.,I think that a lot of business could survive without help because of their drive thru service. I think that they should look over each individual and see if they qualify for the help.,K,0,1,1,0,1,0,0,0,0,0,0,
5c1046b4c3871300012be287,pl,"I don't necessarily think the points system is the best way to fund small businesses, but out of the three choices, it is the most rational.","I don't necessarily think a lottery is better than the other in that ultimately, the money should be given to the public to spend at which businesses of their choosing. That way, the businesses that stay open after COVID are the places people will shop at. Giving money to just any business doesn't make sense there has to be a demand for their products or services or the investment is lost.",K,0,0,1,0,0,0,1,1,0,0,1,Businesses who have the most demand should be prioritized so that money is not going to waste if the business would not have stayed open because of low demand. 
5e8804c63ac81448c5ab0fa5,pf,Because minority owned businesses will get more points if points are weighted a certain way. That seems mire equitable.,Because it could be that no minority owned businesses would be served. It could go to all white businesses.,K,0,0,1,0,0,0,1,0,0,1,0,
5ceff90683416100197cde83,pl,because it is the only one involving some kind of evaluation of the business and their loss. the others do not take into account any such factors.,because a lottery gives equal chances to everyone whereas a first come first served model will be skewed towards a majority population and people who are well informed /well connected.,K,0,0,1,1,1,0,0,0,0,0,0,
5fde8a281d6cb4657252f985,fl,"Let's start with the Advantages: FCFS algorithm doesn't include any complex logic, it just puts the process requests in a queue and executes it one by one. Hence, FCFS is pretty simple and easy to implement. Eventually, every process will get a chance to run, so starvation doesn't occur.","The principle of first-come-first-served is simple, and it's fair.",K,1,0,0,0,0,0,0,0,0,0,0,
5a91877e777df200015fa0f5,pl,Let's toss out first come/first served out completely here. See below. It's impractical. Points based takes many merits and circumstances into account. Business that have been around longer may have more of a chance to survive based on their experience. I'm not necessarily a fan of more points based on being a woman/en owned business although I am a woman and a feminist. I feel like that part is exclusionary.,"I don't believe that first come first served is appropriate in this instance. There are many reasons that a business may not be able to apply quickly, especially in a situation where people are scattered both emotionally and physically. It's just not practical for a business to be speedy in this circumstance to be a reasonable expectation (nor a fair one.)",K,0,0,1,1,0,0,0,1,1,0,0,
5f5ba66db8e6413162a5c703,pf,"In this scenario, the businesses that need the most help are more likely to receive help. While there are businesses that will be missing out, they aren’t the ones that aren’t in the worst place, so they are more likely to overcome those hardships without assistance.","This is another case of businesses having some sort of involvement in getting chosen. They have a chance to jump on the opportunity if they believe they need this help. The lottery, on the other hand, is just randomly chosen and might not choose the people that need to most help. The businesses just have to wait and hope they are randomly selected.",K,0,0,1,0,0,1,1,0,0,0,0,
5fda4853a24ce343bba58456,fp,If its made available to all at the same time then the ones that take the initiative to quickly apply for or seek the help deserve to receive it.,It is too random and take nothing about the business in consideration.,K,0,0,0,0,0,1,1,0,0,0,0,
5ea74af289f0ea126ec7f148,lp,The lottery system removes all judgement and bias from the process. By definition it is the fairest way.,Small companies with most resources would be able to collect documents and complete the application process more quickly. The his would move them to the front of the line. Since they have more resources they are less in need of assistance.,K,0,0,0,1,1,0,0,0,0,0,0,
5df040fa82b88c0a7c698dd8,pf,It allows the government to flow funds to the businesses that are suffering the most harm from covid,Random awards of help is the least effective way of helping small business and could end up sending money to a business that doesn't need help,K,0,0,1,0,0,0,1,0,0,0,0,
5fe219f98d3c66531c44b17f,pl,Because it helps the most disadvantaged businesses first and the most,First come first serve is just based on who has the fastest response time,K,0,0,1,1,0,0,0,0,0,0,0,
5f595581b4984119febb85d0,pf,Because a points system is actually effective at making sure things are even for women and men.  The other two are foolish systems.,"Because it would bring nothing of use...  Nothing good or bad comes from it, its a useless system.",K,0,0,1,0,0,0,1,0,1,0,0,
5ae2641f5cd05500015ece71,pl,I think this system is fairer as some businesses have been hurt by COVID more than others and this would include businesses owned by minorities.  Some businesses have been around for a long time and this may be a consideration if they have more invested in the business and it would be harder to reopen than someone just starting.,"I hate to see someone just not apply in time.  They may not even hear the program exists in time.  There is so much in the news about the pandemic, it would be easy not to see it at first.",K,0,0,1,1,0,0,0,0,0,1,1,Businesses who have been around longer will be prioritized 
55afd54efdf99b4099d5735f,pf,The ones that need the funds the most get them,not based on anything but luck of the draw.,K,0,0,1,0,0,0,1,0,0,0,0,
5d1283351716480017019be7,pl,"The points system takes into account the damage seen by the business, because the pandemic has hurt some business types much more than others. Some businesses who may have not been hurt that much might get more funding than one who is suffering greatly.","A first-come first-served system would create a mad rush to get funding, and businesses with more resources/employees would probably be able to get their applications in immediately, while smaller business that are already suffering may take a little longer to get their application in, and would miss their chance.",K,0,0,1,1,0,0,0,0,0,0,0,
5e7a2ccd69a7770604dfb352,pl,I think that a points system is going to most fairly ensure the most deservant and needy businesses get the help they need. The lottery system is so randomized that it doesn't take into account the special needs of certain businesses which are more deseprate than others.,"This is not fair because some businesses might have the resources to ensure their applications are processed quicker because they have the assiatnce of experts or other professionals, and perhaps even recieve tips from bankers about how to quickly fill out and expedite the application so the process can be completed quicker.",K,0,0,1,1,0,0,1,0,0,0,0,
5fc912ac6364162752bd3984,lf,It gives a chance to everyone,I feel the points system does not give everyone a chance,K,0,0,0,0,1,0,0,0,0,0,0,
5dcef1425e9119034948cd9e,lf,"I think all applications received within the specified time frame should be given equal consideration (rather than ""first come, first served""), because this method encourages thoughtful completion of the application, rather than a possibly careless rush to get it in first.","The points system seemed arbitrary, favoring, for example women over men, regardless of their individual circumstances.",K,0,0,0,1,1,0,0,0,1,0,0,
5ea9d795dec14d13eb7af3d9,lf,"I think the lottery is more fair because it takes out any bias or human judgement. If the businesses qualify, they should have an equal opportunity to receive a grant.","I think if any judgement should be applied, businesses that apply first should get first chances. The points system would allow for businesses to be judged in unfair ways and potentially be unfairly rewarded.",K,0,0,0,0,1,1,0,0,0,0,0,
5d8a1d20d1afcb0019d7390b,fp,"Yes, because it shows that the people who get the grants in this case are paying attention.  And it shows that they want to see their business succeed adn will do anything to help moving it along the way.","Because someone can be a slug, show up at the last minute on a whim and win by the luck of the draw.  It shouldn't be by luck.  It should be to the people who want it and do everything they can to get a grant.",K,0,0,0,0,0,1,1,0,0,0,0,
5d90c4fadf90b6001549561e,fp,"I had to make a choice, I think those who need it more would be one of the first to apply for the grants. And what difference does it make who owns it, minority or not? That's totally racist no matter how you look at it.",A lottery is chancy. You would possibly give it to businesses who barely need it as compared to those in desperate need.,K,0,0,1,0,0,0,1,0,0,1,0,
5f9a0b05e01ad1119c54eea1,pl,"That way businesses that are doing well are identified, likewise minority-owned businesses who meet the required points receive a helping hand","i'm not quite comfortable with that method, as it is still prone to discriminatory practices.",K,0,0,1,0,1,0,0,0,0,1,0,
5e711d9e908b46031e32138c,pl,Because a point system help businesses that are in most need,Well it may take some businesses longer to find out about program and then apply for the program. It’s not easy navigating these programs if your not used to them. Lottery makes it an even playing field,K,0,0,1,1,1,0,0,0,0,0,0,
