prol_id,choice,fr_why_first_over_second,fr_why_second_over_third,coder,Nonsensical? (1 = yes; 0 = no),Propensity for intentional fraud/system abuse/gaming (including both “this method is better because it does that less” and “this method is worse because it does that more”) by either the applicants or the people allocating the funds,"Ability to help the neediest targets, and/or underserved groups","Extent to which the method requires personal resources, speed of finding out about the program, etc.",Amount of bias/discrimination/level playing field,Extent to which the method(s) allow for or reward applicant effort,Randomness is bad (general) and/or randomness is bad because the funding agency didn’t make enough of an effort to think of a better system,Considers relevant/appropriate factors,Women - mentioned,Racial/ethnic minorities - mentioned,Other reasons,Comments on other reasons
5e3d8ef3b9b9e3043d928529,pl,I think a point system is more fair because it takes into consideration each stores unique circumstances and challenges. First-come first-serve likely disadvantage the least fortunate groups.,I think lottery is more fair because it gives everyone an equal shot.,X,0,0,0,0,1,0,0,0,0,0,1,consider of real circumstance
5f32b3380e57d50134172c75,pl,It would allow for a more focused approach that is more likely to effectively stimulate the economy.,Companies with more existing resources are more likely to secure access to funds in a first come first serve system. The lottery would mitigate that issue.,X,0,0,1,1,0,0,0,0,0,0,0,
5dddef56946f7cd753f9e2d7,fp,I think this way all businesses have a fair chance at being helped. The points system is disadvantageous to new but potentially successful businesses.,I feel like the lottery is a matter of luck while the points system is a better way to tell which businesses need it more.,X,0,0,1,1,0,0,1,0,0,0,0,
5f119c5ad521140253f60e86,pl,It gives credit for actually running a small business.,There will be many small businesses that do learn of the first-come-first-served program and will be left out.,X,0,0,1,1,0,0,0,0,0,0,0,
5c1ffe5295f978000173df84,pl,"Businesses that haven't been hurt could get the grants, otherwise.",Those with more access to information would benefit from the first come method,X,0,0,1,1,0,0,0,0,0,0,0,
5f048fdc0aea5b0ae3215fc9,pl,Because a lot of the small businesses do not have people that would be on top of the government help. So they would not know when they are able to apply for help. So many that are more into technology know what is going on more than the small ones.,Because it would give everyone a chance.  Sometimes the ones that are 1st in line are the ones that always get the help leaving others to fend for themsleves.,X,0,1,0,1,1,0,0,0,0,0,0,
5dde843983e309dfeaf240e9,pl,"A points system is more beneficial and fair because in a lottery and first come first served scenario more people could benefit. Those businesses that are actually suffering are more likely to get help. Because they could have a slim chance of winning the lottery and big businesses could come ""first"" and take all the help.",Because big businesses or white owned businesses would run to be first and not leave any help.,X,0,0,1,1,0,0,0,0,0,1,0,
5e373f33a42bce6daa55ea65,lp,I think the lottery gives everyone a more equal shot at getting the help.,I think companies with more experience (but not necessarily the most deserving) are quicker to line up and that makes first-come first-served less fair.,X,0,0,0,1,1,0,0,0,0,0,0,
577e79ecdcff7d0001c7a534,pf,"A points-based system represents the most equitable method of funds allotment in this case, as this method assesses true merit and need over the other methods described, in particularly the lottery and first-come, first- served methods.  The FCFS method only rewards those who are first in line for the funds, for example.","The lottery method is simply based on probabilistic chance, and nothing else.",X,0,0,1,0,0,0,1,1,0,0,0,
5f57a42b46df8927414990fc,fp,Those that applied first are more in need of the money,Checking eligibility is important,X,0,0,1,0,0,0,0,0,0,0,1,Checking eligibility is important
