session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
5fe9faae4cfb7d4a6f44d0f9,5e8bbb3680cbf20986c677e1,APPROVED,2020-12-28 15:33:04.978000,2020-12-28 15:43:01.567000,596.589,23,316,0,100,2020-12-28 20:11:58.385000,66C39AD6,United States,United States,Full-Time,White,English,Italy,Male,No
5fe9fad38929f097fb17193b,5ed8cf4782a6eb04ddf9962d,APPROVED,2020-12-28 15:33:46.580000,2020-12-28 15:43:34.954000,588.374,27,256,0,100,2020-12-28 20:11:59.192000,66C39AD6,Hungary,United States,Full-Time,White,Hungarian,Hungary,Male,Yes
5fe9fc036bfb6392c2e5e2fc,5f049887e5751c71fc50ca45,APPROVED,2020-12-28 15:38:47.503000,2020-12-28 15:48:34.250000,586.747,22,145,1,100,2020-12-28 20:12:00.045000,66C39AD6,Kazakhstan,United States,Unemployed (and job seeking),White,Russian,Russian Federation,Male,No
5fe9fdb9fdb6e699c0f1f2db,5e2916b49a409c0d7160f318,APPROVED,2020-12-28 15:46:06.620000,2020-12-28 16:00:23.880000,857.26,22,103,0,100,2020-12-28 20:12:01.018000,66C39AD6,United States,United States,Part-Time,White,English,United States,Male,Yes
5fe9ffef99e7cf973aa7cd41,5e9865351fd0c20522d9d4aa,APPROVED,2020-12-28 15:55:32.888000,2020-12-28 15:59:01.747000,208.859,22,199,1,100,2020-12-28 20:12:01.980000,66C39AD6,United States,United States,Part-Time,White,English,United States,Male,Yes
5fea0015e9df3d18707d3dda,5c4b844bd8496e0001ede2bf,APPROVED,2020-12-28 15:56:08.358000,2020-12-28 16:02:00.627000,352.269,21,161,1,100,2020-12-28 20:12:02.936000,66C39AD6,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,Yes
5fea00ece5e631976d544057,5f8a2f266245d70e62db06da,APPROVED,2020-12-28 15:59:44.623000,2020-12-28 16:06:13.364000,388.741,26,171,1,100,2020-12-28 20:12:04.214000,66C39AD6,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
5fea00f2957b614a7f48aebf,5d02436233ef7200190d44df,APPROVED,2020-12-28 15:59:50.159000,2020-12-28 16:21:56.209000,1326.05,21,306,0,100,2020-12-28 20:12:12.191000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,Yes
5fea035b88f0579952008092,5af7646de066a40001135ce2,APPROVED,2020-12-28 16:10:06.252000,2020-12-28 16:15:48.288000,342.036,27,778,2,100,2020-12-28 20:12:06.182000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea03cd705a1f4a9e3d3c9e,5ee22a55402f7d66a6f3d046,APPROVED,2020-12-28 16:12:00.032000,2020-12-28 16:16:22.657000,262.625,27,130,0,100,2020-12-28 20:12:06.979000,66C39AD6,United States,United States,Full-Time,White,English,Germany,Male,No
5fea03ea29db959a7ed86ade,5fc51f7e080d1b0009b46713,APPROVED,2020-12-28 16:12:26.423000,2020-12-28 16:18:02.466000,336.043,23,59,0,100,2020-12-28 20:12:08.033000,66C39AD6,United States,United States,Unemployed (and job seeking),White,,United States,Male,No
5fea040da35c0e4bd1188ebb,5f038dc85819b15b08840dfd,APPROVED,2020-12-28 16:13:05.302000,2020-12-28 16:24:26.926000,681.624,23,333,5,98,2020-12-28 20:12:08.892000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea0443b9b6094b6df36952,5cd393e40ced9200010b2e9c,APPROVED,2020-12-28 16:13:55.471000,2020-12-28 16:17:06.062000,190.591,27,551,10,95,2020-12-28 20:12:10.106000,66C39AD6,United States,United States,Unemployed (and job seeking),White,English,Italy,Male,No
5fea05dd0b03ab1916d4d105,5dd0b886f78cf2181e048152,TIMED-OUT,2020-12-28 16:20:49.903000,,335592.000823,28,234,0,100,,,United States,United States,DATA EXPIRED,White,Spanish,United States,Male,No
5fea062683f6af943ca1bd0b,5e3c5eb0ad15c30461bc0528,APPROVED,2020-12-28 16:22:03.096000,2020-12-28 16:27:48.215000,345.119,24,178,0,100,2020-12-28 20:12:11.504000,66C39AD6,United States,United States,Unemployed (and job seeking),White,English,United States,Male,No
5fea06a460d5fb4b205f9a83,5bf8898f6669ae000122e9ad,APPROVED,2020-12-28 16:27:50.615000,2020-12-28 16:34:45.219000,414.604,24,1007,0,100,2020-12-28 20:12:12.357000,66C39AD6,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
5fea06beb9b6094b6df3695c,5fe6c6d0d4f1e4025106537b,APPROVED,2020-12-28 16:24:37.039000,2020-12-28 16:32:49.216000,492.177,27,11,0,100,2020-12-28 20:12:13.241000,66C39AD6,United States,United States,Unemployed (and job seeking),White,DATA EXPIRED,United States,Male,No
5fea06c9f0b5ed4ca105f899,5fc943bdee0fb0401817c36f,APPROVED,2020-12-28 16:24:44.311000,2020-12-28 16:37:05.643000,741.332,28,49,0,100,2020-12-28 20:12:14.223000,66C39AD6,United States,,Part-Time,White,,United States,Male,No
5fea06e4b111169423d11dae,5cf1eed7a602eb0001e2e850,APPROVED,2020-12-28 16:25:10.543000,2020-12-28 16:28:54.318000,223.775,22,629,6,98,2020-12-28 20:12:14.937000,66C39AD6,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,Yes
5fea07018ac182947dd6a557,5fbd28543e58c106136711cf,APPROVED,2020-12-28 16:25:43.870000,2020-12-28 16:33:04.302000,440.432,25,43,0,100,2020-12-28 20:12:15.769000,66C39AD6,United States,United States,Unemployed (and job seeking),White,DATA EXPIRED,United States,Male,Yes
5fea087dc392159add086d3a,5f8b4cbe24be0026a11e6efa,APPROVED,2020-12-28 16:31:57.154000,2020-12-28 16:38:51.439000,414.285,27,166,1,100,2020-12-28 20:12:16.606000,66C39AD6,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
5fea0a24957b614b77f20d9e,5c9567e99d4cac0011609746,APPROVED,2020-12-28 16:39:02.787000,2020-12-28 16:48:42.888000,580.101,21,410,1,100,2020-12-28 20:12:17.524000,66C39AD6,United States,United States,Part-Time,White,English,United States,Male,Yes
