"prol_id","prol_id_clean","cond","points_rank","is_woman","raceeth","is_minority","political_affil","political_affil_buckets","political_ideology","jw_combined","choice","fr_why_first_over_second","fr_why_second_over_third","coder","Nonsensical_1_yes_0_no_","Propensity_for_intentional_fraud_system_abuse_gaming_including_both_this_method_is_better_because_it_does_that_less_and_this_method_is_worse_because_it_does_that_more_by_either_the_applicants_or_the_people_allocating_the_funds","Ability_to_help_the_neediest_targets_and_or_underserved_groups","Extent_to_which_the_method_requires_personal_resources_speed_of_finding_out_about_the_program_etc_","Amount_of_bias_discrimination_level_playing_field","Extent_to_which_the_method_s_allow_for_or_reward_applicant_effort","Randomness_is_bad_general_and_or_randomness_is_bad_because_the_funding_agency_didn_t_make_enough_of_an_effort_to_think_of_a_better_system","Considers_relevant_appropriate_factors","Women_mentioned","Racial_ethnic_minorities_mentioned","Other_reasons","Comments_on_other_reasons","is_matched_tofr"
"55ce148b34e9060012e56279","55ce148b34e9060012e56279","Wom",3,TRUE,"White",FALSE,"Democrat","Democrat","Liberal",3.42857142857143,"lf","It equalizes everyone.  Everyone has an equal chance to help","It can be rigged easily.  Open to bias","X","0",0,0,0,1,0,0,0,0,0,0,"",TRUE
"5680eeb5c5767f00121ccc0f","5680eeb5c5767f00121ccc0f","Wom",3,TRUE,"White",FALSE,"Democrat","Democrat","Liberal",2,"fl","Mainly because money will not be held up for an indefinite period of time.","Points invest in businesses with the most damage however they are also the most likely to fail.","X","0",0,0,0,0,0,0,0,0,0,1,"money will not be held up for an indefinite period of time and FCFS is fast, while the most damaged companies are more likely to fail",TRUE
"569298838d93fe000dfa033c","569298838d93fe000dfa033c","Wom",3,TRUE,"White",FALSE,"Democrat","Democrat","Liberal",3.71428571428571,"lf","It's fair because it's random.","It's least fair because it singles out some businesses over others. It's like choosing an older child instead of a younger one to get a cure for a deadly disease. How could a parent decide??","X","0",0,0,0,1,0,0,0,0,0,1,"P is least fair because it singles out some businesses over others.",TRUE
"5a07a6af002e1800019d6aab","5a07a6af002e1800019d6aab","No_info",3,FALSE,"Black or African American",TRUE,"Democrat","Democrat","Liberal",4,"lf","Some businesses my not be apply to apply as quickly as other businesses.  Also, the ability to apply quickly is not an indication of how deserving a businesses is of a loan.","A points system may not be the best way to determine if a business needs a loan.  There are other criteria that need to be included to make it more fair and transparent.","X","0",0,0,1,0,0,0,1,0,0,0,"",TRUE
"5b846b48338a930001566887","5b846b48338a930001566887","No_info",3,FALSE,"White",FALSE,"Democrat","Democrat","Moderate",2.71428571428571,"lf","The lottery will distribute the rewards more randomly. This includes businesses that are hurting more than businesses that have lawyers and staff to navigate the other choices.","Points systems will inevitably lead to cheating. Like claiming to be a woman run enterprise when it becomes advantageous.","K","0",1,0,0,1,0,0,0,0,0,0,"",TRUE
"5c9b1b5c441b4700179b17b2","5c9b1b5c441b4700179b17b2","Min",3,TRUE,"White",FALSE,"Democrat","Democrat","Very Liberal",2.85714285714286,"lf","A lottery system is totally unbiased and everyone has an equal chance","A points system would rely on a person determining how the points are awarded and when there are people involved there are chances of bias.","K","0",0,0,0,1,0,0,0,0,0,0,"",TRUE
"5cab69f77ea4a700019a87dc","5cab69f77ea4a700019a87dc","No_info",3,TRUE,"White,Hispanic, Latino, or Spanish",TRUE,"Democrat","Democrat","Liberal",3.14285714285714,"fl","Because people need to take responsibility for their businesses and not simply sit around and assume or hope the government will help them out.  Those that make the effort probably really need assistance.","It wasn't that it was more fair.  I just didn't like the qualifiers in the points system that stated ""been in business longer"" or ""minority owned"".","K","0",0,1,0,1,1,0,0,0,0,0,"",TRUE
"5cb33d40f173240019513957","5cb33d40f173240019513957","No_info",3,FALSE,"White",FALSE,"Democrat","Democrat","Liberal",2.57142857142857,"lf","It is difficult to decide who should get the money when there are so many that need help. If you can only help a fraction of the people, it should be given out impartially.","It picks who loses and wins. It has a political angle that may be unfair in its use. It may place a priority on who the government, more likely a small number of individuals, should get it","K","0",1,0,0,1,0,0,0,0,0,0,"",TRUE
"5cbf87e2a4f6cd000172a1ec","5cbf87e2a4f6cd000172a1ec","No_info",3,TRUE,"White",FALSE,"Democrat","Democrat","Very Liberal",3,"lf","It’s completely random. The first come first served method creates chaos and can crash a website making some businesses not able to apply in time before its full.","First come first served is more fair because the points system is based on length of business and whether or not it’s owned by women. This makes it less fair to a majority of businesses.","K","0",0,0,1,1,0,0,0,1,0,0,"",TRUE
"5d093caa2b420b00018e444a","5d093caa2b420b00018e444a","No_info",3,TRUE,"White",FALSE,"Democrat","Democrat","Very Liberal",2.28571428571429,"lf","There is no bias involved","It rewards based on gender","K","0",0,0,0,1,0,0,0,1,0,0,"",TRUE
